,airport,lon,lat,coutry,sub
383,KRZN,-92.3736930555555,45.8234638888889,US,Wisconsin
384,CED6,-113.888999939,50.8018989563,CA,Alberta
385,SNEJ,-46.0374984741,-22.8597221375,BR,Minas Gerais
386,1XS1,-95.0464833333333,29.9382791666667,US,Texas
387,KAFW,-97.3194405555555,32.9903858333333,US,Texas
388,KJVY,-85.7381447222222,38.3666183333333,US,Indiana
389,KY47,-83.6237013888889,42.5031238888889,US,Michigan
390,CYOS,-80.8375015259,44.5903015137,CA,Ontario
391,KAKR,-81.4676847222222,41.0374236111111,US,Ohio
392,K4G8,-81.9604418333333,41.3186801944444,US,Ohio
393,CNN8,-76.2442016602,44.4019012451,CA,Ontario
394,OH22,-81.7790222222222,40.7611666666667,US,Ohio
395,NJ25,-75.2283472222222,39.7896833333333,US,New Jersey
396,CPF3,,,,
397,IA56,-93.3793758333333,41.7805433333333,US,Iowa
398,KIKK,-87.8462777777778,41.0713888888889,US,Illinois
399,98VA,,,,
400,KMCF,-82.5212194444444,27.8493444444444,US,Florida
401,KCOF,-80.6099780555555,28.2350066666667,US,Florida
402,KTTA,-79.1013377777778,35.5824394444444,US,North Carolina
403,LJCE,15.5302000046,45.9000015259,SI,Brezice
404,CSM3,-71.2572021484,46.051700592,CA,Quebec
405,CYFJ,-74.7799987793,46.4094009399,CA,Quebec
406,5MI8,,,,
407,MPHO,-79.5996017456,8.9147901535,PA,Panama
408,CFH4,-63.461101532,45.8699989319,CA,Nova Scotia
409,2NY9,-76.7224508333333,42.3700733333333,US,New York
410,KFTG,,,,
411,KOSH,-88.5570430555556,43.9843708333333,US,Wisconsin
412,KMJX,-74.2955347222222,39.9260416666667,US,New Jersey
413,3NK5,-73.4652777777778,44.6166666666667,US,New York
414,EICK,-8.491109848,51.8413009644,IE,Munster
415,LIPY,13.3622999191,43.6162986755,IT,The Marches
416,KZER,-76.3737502777778,40.7067508333333,US,Pennsylvania
417,VT38,-73.2466666666667,45.0091666666667,US,Vermont
418,LOLW,14.0409002304,48.1833000183,AT,Upper-Austria
419,KSDL,-111.910527777778,33.6228888888889,US,Arizona
420,KNY2,,,,
421,02XS,-97.6627791666667,30.1477130555556,US,Texas
422,KMOD,-120.95443,37.6258247222222,US,California
423,FA51,-81.5061883333333,26.7389552777778,US,Florida
424,KMMU,-74.4148886111111,40.7993383333333,US,New Jersey
425,MDBC,-68.9159011841,18.4797000885,DO,La Romana
426,71MI,-83.5172222222222,42.0844444444444,US,Michigan
427,CYXZ,-84.7866973877,47.9667015076,CA,Ontario
428,EDDW,8.7866697311,53.0475006104,DE,Bremen
429,LFHH,4.8294401169,45.4641990662,FR,Auvergne-Rhone-Alpes
430,4OI7,,,,
431,CSG3,-73.501701355,46.0449981689,CA,Quebec
432,58IN,-84.8638516666667,41.2583833333333,US,Indiana
433,NY85,,,,
434,CFQ7,-113.455001831,53.2817001343,CA,Alberta
435,CNS8,-75.0774002075,44.9469985962,CA,Ontario
436,KBLI,-122.537527777778,48.7926944444444,US,Washington
437,LPPT,-9.1359195709,38.7812995911,PT,Lisbon
438,RJAK,140.1929931641,36.0346984863,JP,Ibaraki
439,36AL,-85.5342777777778,31.4928888888889,US,Alabama
440,KORD,-87.9081497222222,41.9769402777778,US,Illinois
441,PN18,-80.2436730555556,42.0272786111111,US,Pennsylvania
442,CAM3,-123.709702492,48.7545336204,CA,British Columbia
443,LFHW,4.7147197723,46.1427993774,FR,Auvergne-Rhone-Alpes
444,OH57,,,,
445,LFNR,5.1783299446,43.5377998352,FR,Provence-Alpes-Cote-d'Azur
446,KOKC,-97.6007617222222,35.3930740277778,US,Oklahoma
447,SC88,-81.7942686111111,35.1473455555556,US,South Carolina
448,CLA4,-79.4950027466,44.0894012451,CA,Ontario
449,4NK1,,,,
450,GMMN,-7.5899701118,33.3675003052,MA,
451,CYLW,-119.3779983521,49.9561004639,CA,British Columbia
452,EDXW,8.340470314,54.9132003784,DE,Schleswig-Holstein
453,CT14,-72.6162011111111,41.8667647222222,US,Connecticut
454,05IN,-86.5041641666667,39.6419908333333,US,Indiana
455,41KS,-94.7973333333333,38.7355,US,Kansas
456,8NK6,-75.1683333333333,42.7130555555556,US,New York
457,EGLL,-0.4619410038,51.4706001282,GB,England
458,K9X1,,,,
459,KFWA,-85.1951666666667,40.9784722222222,US,Indiana
460,LSTZ,7.3805599213,46.5525016785,CH,Bern
461,CNV8,-79.9627990723,44.4411010742,CA,Ontario
462,KLCI,-71.4178416666667,43.5730416666667,US,New Hampshire
463,KBDR,-73.1261758333333,41.1634808333333,US,Connecticut
464, CMN3,,,,
465,KSNA,-117.868233055556,33.6756619444444,US,California
466,CNV9,-71.5854978561,46.7214759694,CA,Quebec
467,25SC,-82.3373888888889,34.9606388888889,US,South Carolina
468,CYFD,-80.3424987793,43.131401062,CA,Ontario
469,CEZ3,-113.115997314,53.4275016785,CA,Alberta
470, KFLL,,,,
471,KTPF,-82.4493888888889,27.9154444444444,US,Florida
472, CYUL,,,,
473,KTHV,-76.8730277777778,39.917,US,Pennsylvania
474,CVL3,,,,
475,TA07,-94.9668708333333,30.0071622222222,US,Texas
476,KBGM,-75.9796111111111,42.2084444444444,US,New York
477,32PN,-80.275895,40.7339547222222,US,Pennsylvania
478,KPYM,-70.727685,41.9086175,US,Massachusetts
479,LSZS,9.8841104507,46.5340995789,CH,Grisons
480,3TS7,,,,
481,KPIA,-89.69325,40.6641944444444,US,Illinois
482,EDDP,12.2416000366,51.4323997498,DE,Saxony
483,KNGU,-76.2892780555556,36.9374686111111,US,Virginia
484,59NY,-78.6900325,43.2306122222222,US,New York
485,CYRQ,-72.679397583,46.3527984619,CA,Quebec
486,VT48,,,,
487,KMVY,-70.6138744444444,41.3934175,US,Massachusetts
488,LL78,-89.1509413888889,42.3116852777778,US,Illinois
489,TLPC,-60.992901,14.0202,LC,Castries
490,CYEY,-78.2497024536,48.5638999939,CA,Quebec
491,67OH,,,,
492,CYXU,-81.1539001465,43.0355987549,CA,Ontario
493,LIMG,8.1274299622,44.0505981445,IT,Liguria
494,KHOU,-95.2772315833333,29.6457998333333,US,Texas
