,airportIn,airportOut,company,number
556,CYUL,CNV9,Sunwing Airlines Inc.,19
557,CYCC,CST3,Others,19
558,CYUL,KOPF,Skyservice Business Aviation Inc./skyservice Aviation D'affaires Inc.,33
559,CSC3,CSQ3,Others,18
560,CYEG,CYUL,Flair Airlines Ltd,18
561,CYUL,CYSC,Others,18
562,CSM3,CYHU,Others,18
563,CYUL,MMMX,Air Canada,36
564,CYYZ,CYMX,Air Canada,18
565,CYUL,RJAA,Air Canada,23
566,CYMX,CSG3,Others,18
567,CYUL,KBNA,Others,34
568,CYUL,CTR6,Air Georgian Limited,18
569,CYUL,CEQ3,Air Canada,18
570,CYVR,CTR6,Air Canada Rouge Lp,18
571,CYCC,CDD3,Others,18
572,CYHU,CCP3,Others,18
573,CYUL,CYUL,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.,18
574,CYUL,CYYG,Air Canada,17
575,CYMX,CYHZ,Others,17
576,CYMX,CYRO,Others,17
578,CNV9,CYUL,Jazz Aviation Lp,17
579,CYUL,71MI,Others,17
580,CYKZ,CYUL,Aviation Starlink Inc.,17
581,CYUL,71MI,Bank Of Utah Trustee,17
582,CCV4,CYUL,Jazz Aviation Lp,17
583,CYUL,KEWR,Air Canada,32
584,CYOW,CYQB,Others,17
585,CYUL,KAKH,Bank Of Utah Trustee,19
587,CYMX,CYTZ,Others,17
588,CYUL,CYGP,Others,17
589,CYUL,TXKF,Skyservice Business Aviation Inc./skyservice Aviation D'affaires Inc.,29
590,CYUL,KBWI,Jazz Aviation Lp,34
591,CSQ3,CSC3,Others,17
592,CYND,CYKZ,Others,17
593,CYUL,CYKF,Flair Airlines Ltd,17
594,CYHU,CNN8,Others,17
595,CYOW,CYMW,Others,17
596,CYHU,CYMW,Others,17
597,CYUL,LPAR,Air Transat A T Inc.,17
598,CYUL,KRDU,Air Canada,32
599,CZBM,CYMX,Others,16
600,CYUL,MBPV,Air Canada Rouge Lp,30
601,CYUL,CSK5,Others,16
602,CYMX,KPBG,Others,20
603,CTR6,KORD,Others,16
604,CYUL,KPMP,Air Canada,16
605,CYUL,LFHJ,Air Transat A T Inc.,19
606,CZBM,CSU3,Others,16
607,CYUL,KIAG,Others,20
608,CYQY,CYUL,Others,16
610,CYUL,CSE4,Others,16
611,CYJN,CSA2,Others,16
612,CYUL,CYQG,Flair Airlines Ltd,16
613,CSZ3,CYMX,Others,16
614,CYHU,CYRO,Others,16
615,CYYZ,CZBM,Others,16
616,CZBM,CSC3,Others,16
617,CSZ3,CYUL,Others,16
618,CYQG,CYUL,Flair Airlines Ltd,16
619,CSU3,CZBM,Others,16
620,CSC3,CSB3,Others,16
621,CST3,CYCC,Others,16
622,CYZV,CYUL,Others,15
623,CYND,CTR6,Others,15
624,CYUL,KPIT,Others,22
625,CZBM,CSB3,Others,15
626,CYUL,LEMD,Air Canada,25
627,CSY3,CYMX,Others,15
628,CSB3,CSY3,Others,15
629,CYHU,CYHM,Others,15
630,CSN3,CYUL,Others,15
631,CYXU,CYUL,Others,15
