,airline,duration,departureTime,flightRange,count
344,SUNWING AIRLINES INC.,long,soire,Quebec,8
345,AIRSPRINT INC.,court,nuit,International,8
346,CARGOJET AIRWAYS LTD.,moyen,soire,Canada,1
347,AIR TRANSAT,moyen,soire,Canada,91
348,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,court,nuit,Quebec,27
349,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,moyen,matin,International,427
350,AIR TRANSAT,moyen,après-midi,Canada,104
351,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,moyen,soire,International,154
352,WESTJET ENCORE LTD.,court,soire,Quebec,74
353,AIR TRANSAT,moyen,soire,Quebec,74
354,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,moyen,matin,Canada,6
355,AIR TRANSAT,moyen,après-midi,Quebec,73
356,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,moyen,nuit,International,4
357,WESTJET ENCORE LTD.,court,après-midi,Quebec,89
358,CARGOJET AIRWAYS LTD.,moyen,matin,Canada,2
359,CARGOJET AIRWAYS LTD.,moyen,après-midi,Canada,2
360,FLAIR AIRLINE,moyen,matin,Canada,24
361,WESTJET ENCORE LTD.,court,soire,International,26
362,JAZZ AVIATION LP,moyen,nuit,Canada,3
363,CARGOJET AIRWAYS LTD.,court,soire,Canada,10
364,AIRSPRINT INC.,moyen,matin,Canada,3
365,JAZZ AVIATION LP,long,matin,Canada,2
366,AIR TRANSAT,court,nuit,Quebec,7
367,SUNWING AIRLINES INC.,long,soire,Canada,4
368,WESTJET,moyen,matin,Quebec,72
369,SUNWING AIRLINES INC.,long,nuit,Quebec,10
370,BANK OF UTAH TRUSTEE,court,nuit,Quebec,1
371,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,moyen,nuit,Canada,2
372,BANK OF UTAH TRUSTEE,long,matin,International,4
373,AIRSPRINT INC.,moyen,après-midi,Canada,1
374,WESTJET,moyen,matin,International,5
375,SUNWING AIRLINES INC.,court,matin,Quebec,9
376,WELLS FARGO TRUST CO NA TRUSTEE,moyen,nuit,International,19
377,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,moyen,matin,Canada,65
378,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,moyen,après-midi,Canada,69
379,AIR GEORGIAN LIMITED,moyen,après-midi,International,9
380,WESTJET,moyen,nuit,Canada,24
381,WESTJET,moyen,matin,Canada,24
